,index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,t
43,43,0.41507465,0.019195853,0.41240427,0.3254097,0.46817988,0.43809384,0.43884623,0.44183585,0.47372907,0.49196923,0.53774714,0.49749085,0.27225003,0.6142857142857143
44,44,0.14052545,0.008624984,0.3131294,0.21075219,0.12779167,0.12773769,0.1502261,0.17026123,0.21785088,0.24884184,0.24562936,0.28126696,0.07209164,0.6285714285714286
45,45,0.36852288,0.0071069887,0.21759866,0.11777855,0.33593616,0.30876678,0.31242225,0.32024282,0.36270264,0.39106226,0.3673939,0.40730667,0.15561225,0.6428571428571429
46,46,0.49952233,0.039218944,0.39708796,0.32281217,0.47152826,0.44208625,0.45983273,0.4708127,0.50233215,0.53248703,0.5087569,0.55020505,0.24919674,0.6571428571428571
47,47,0.14756767,0.001231842,0.22927009,0.15498781,0.12267306,0.10910585,0.10736979,0.120000586,0.1619473,0.18633498,0.17729859,0.20434442,0.037584584,0.6714285714285714
48,48,0.20333417,0.02342887,0.26767528,0.19376084,0.1670826,0.15240787,0.15450571,0.17347214,0.22293194,0.24952295,0.23622152,0.27362466,0.09546989,0.6857142857142857
49,49,0.23543325,0.018011399,0.22132276,0.15298958,0.26405177,0.22004317,0.19948083,0.20632462,0.24977073,0.27705172,0.33049327,0.29137868,0.10264441,0.7
50,50,0.16498162,0.0025275636,0.22345574,0.14633407,0.13000914,0.12033834,0.12932472,0.14783978,0.18792021,0.21251094,0.20721516,0.2325091,0.098507054,0.7142857142857143
51,51,0.13274738,0.004285924,0.25515616,0.19839735,0.11667923,0.118680604,0.13460411,0.1536816,0.18695709,0.2055389,0.20229742,0.21922341,0.10094592,0.7285714285714285
52,52,0.44865996,0.11378197,0.22378162,0.2022328,0.42404383,0.3979881,0.41118187,0.43067008,0.4648278,0.4809197,0.47548488,0.4905945,0.3264189,0.7428571428571429
53,53,0.13177228,0.001110516,0.23866381,0.18088913,0.11292397,0.111345656,0.124135956,0.13773745,0.17177832,0.19019057,0.18533717,0.20838755,0.057299804,0.7571428571428571
54,54,0.30610445,0.105837,0.227116,0.18572025,0.27646965,0.25483516,0.25706962,0.27761725,0.32922426,0.35519335,0.34289476,0.37083194,0.21722142,0.7714285714285715
55,55,0.13775869,0.0013941214,0.24870336,0.18729945,0.1184531,0.1155257,0.12942198,0.14214435,0.17646869,0.19446172,0.18989547,0.21182159,0.05755885,0.7857142857142857
56,56,0.27258638,0.00316241,0.32819232,0.2516819,0.24188423,0.2238319,0.22732522,0.25735128,0.31811008,0.35050115,0.34294015,0.3802505,0.15711947,0.8
57,57,0.61995333,0.22858201,0.3575122,0.3420923,0.6073462,0.55344135,0.5839434,0.5882339,0.60397416,0.62391543,0.6044404,0.62937176,0.36988223,0.8142857142857143
58,58,0.18268628,0.03526117,0.14704226,0.1005095,0.15022701,0.124511465,0.11731685,0.12972835,0.15647073,0.16924657,0.16590245,0.17912838,0.078316495,0.8285714285714286
59,59,0.33243677,0.15850179,0.22336231,0.19918971,0.30640283,0.2738795,0.2773061,0.29434463,0.31849307,0.3296422,0.32971653,0.3384987,0.25731048,0.8428571428571429
60,60,0.38998908,0.0017603528,0.3543706,0.3112889,0.35526624,0.31415617,0.32662207,0.33096552,0.34876475,0.3638291,0.33912823,0.3739425,0.12572417,0.8571428571428571
61,61,0.15380993,0.0012567929,0.22070542,0.16805777,0.1248258,0.10793429,0.11049582,0.1301713,0.15901199,0.17451379,0.16867831,0.18595512,0.06261989,0.8714285714285714
62,62,0.5686704,0.002315382,0.35027713,0.22732328,0.53491026,0.47274998,0.50503284,0.4977048,0.51256406,0.53584975,0.49197719,0.54693776,0.14876185,0.8857142857142857
63,63,0.81140465,0.013278707,0.6434248,0.46776408,0.7315706,0.6914463,0.821312,0.8828155,0.9189392,0.9549749,0.8466833,1.00671,0.57764804,0.9
64,64,0.6054007,0.003688929,0.44918025,0.38328403,0.5490447,0.46698192,0.5071369,0.5269203,0.537658,0.5544074,0.5161971,0.56300616,0.26600608,0.9142857142857143
65,65,0.56995183,0.00490983,0.45910245,0.33910713,0.56080717,0.5022125,0.55612326,0.5678717,0.58703774,0.6078509,0.5813581,0.6215257,0.23323247,0.9285714285714286
66,66,0.7993042,0.04874572,0.35990018,0.28929067,0.7873944,0.7113549,0.816814,0.8430512,0.8643469,0.89814633,0.8561298,0.9245751,0.36227176,0.9428571428571428
67,67,0.59158784,0.15248978,0.285408,0.25953704,0.5624844,0.4966427,0.54122114,0.55336595,0.5661128,0.5819701,0.5596113,0.5874274,0.35361558,0.9571428571428572
68,68,0.5495433,0.037821848,0.32999718,0.24101211,0.5072681,0.44437537,0.46812332,0.48048547,0.48774782,0.49945578,0.47677675,0.5038146,0.28079152,0.9714285714285714
69,69,0.30406246,0.04232381,0.19987501,0.15387607,0.26239762,0.21680664,0.2257196,0.2398048,0.26125333,0.2748413,0.2698169,0.28592384,0.12866567,0.9857142857142858
